idOglasa,cena,stanje,marka,model,godiste,kilometraza,karoserija,gorivo,kubikaza,snagaMotora,menjac,brojVrata,boja,lokacijaProdavca
19433787,32650,"Novo vozilo",Nissan,Qashqai,2022,1,Džip/SUV,"Hibridni pogon",1332,158,"Automatski / poluautomatski ",4,"Siva ","Novi Beograd"
19584587,32640,"Novo vozilo",Nissan,Qashqai,2022,0,Džip/SUV,Benzin,1332,158,"Automatski / poluautomatski ",4,"Siva ",Kragujevac
18367306,32540,"Novo vozilo",Renault,Megane,2022,5,Hečbek,Benzin,1332,140,"Automatski / poluautomatski ",4,"Narandžasta ",Beograd
19307801,32540,"Novo vozilo",Nissan,Qashqai,2022,0,Džip/SUV,Benzin,1332,158,"Automatski / poluautomatski ",4,"Siva ","Novi Sad"
18066897,32500,"Novo vozilo",Isuzu,D-Max,2021,0,Pickup,Dizel,1889,163,"Automatski / poluautomatski ",4,"Siva ","Bačka Topola"
18076795,32500,"Novo vozilo",Isuzu,D-Max,2022,2,Pickup,Dizel,1898,163,"Automatski / poluautomatski ",4,"Srebrna ","Novi Sad"
20058302,32500,"Novo vozilo",Isuzu,D-Max,2022,0,Pickup,Dizel,1898,163,"Automatski / poluautomatski ",4,"Crvena ","Bačka Topola"
10854695,32320,"Novo vozilo",Renault,Megane,2022,8,Hečbek,Benzin,1332,140,"Automatski / poluautomatski ",4,"Bela ",Veternik
19653620,32290,"Novo vozilo",Hyundai,Tucson,2022,5,Džip/SUV,Benzin,1598,179,"Automatski / poluautomatski ",4,"Bela ",Kraljevo
18792741,32159,"Novo vozilo",Kia,pro_cee`d,2021,1,Karavan,Benzin,1482,160,"Automatski / poluautomatski ",4,"Bela ","Novi Sad"
19308359,32040,"Novo vozilo",Nissan,Qashqai,2022,0,Džip/SUV,Benzin,1332,158,"Automatski / poluautomatski ",4,"Crvena ","Novi Sad"
18057629,31990,"Novo vozilo",Audi,A4,2022,0,Limuzina,Benzin,1984,150,"Automatski / poluautomatski ",4,"Crna ",Beograd
19829112,31990,"Polovno vozilo",Seat,Leon,2021,5000,Hečbek,Dizel,1968,150,"Automatski / poluautomatski ",4,"Crvena ",Beograd
20036154,31700,"Polovno vozilo",Škoda,Kodiaq,2022,8,Džip/SUV,Benzin,1498,150,"Manuelni 6 brzina ",4,"Crna ",Beograd
18124674,31590,"Novo vozilo",Hyundai,Tucson,2022,1,Džip/SUV,Benzin,1598,179,"Automatski / poluautomatski ",4,"Kameleon ",Jagodina
19804406,31490,"Polovno vozilo",Audi,A3,2021,12990,Hečbek,Benzin,1498,150,"Manuelni 6 brzina ",4,"Plava ",Beograd
