idOglasa,cena,stanje,marka,model,godiste,kilometraza,karoserija,gorivo,kubikaza,snagaMotora,menjac,brojVrata,boja,lokacijaProdavca
19731522,14790,"Polovno vozilo",Nissan,X-Trail,2015,170000,Džip/SUV,Dizel,1598590,131,"Manuelni 6 brzina ",4,"Bela ","Novi Pazar"
19810935,60000,"Polovno vozilo",Audi,S8,2014,190000,Limuzina,Benzin,4000,725,"Automatski / poluautomatski ",4,"Crna ",Aranđelovac
20027641,1700,"Polovno vozilo",Volkswagen,"Passat B5",2000,3880000,Karavan,Dizel,1900,131,"Manuelni 6 brzina ",4,"Plava ","Sremska Mitrovica"
